
[00:00:00.000 --> 00:00:04.700]   [MUSIC]
[00:00:04.700 --> 00:00:05.960]   All right.
[00:00:05.960 --> 00:00:07.800]   So new segment, we want to try something new.
[00:00:07.800 --> 00:00:12.000]   So back in the early days of this podcast, back when it was just me all by myself,
[00:00:12.000 --> 00:00:15.760]   I used to do a segment where I would give updates about what was going
[00:00:15.760 --> 00:00:19.140]   on in the life of Cal Newport.
[00:00:19.140 --> 00:00:24.080]   So I'm a very private person, but I would, on things I was comfortable
[00:00:24.080 --> 00:00:26.960]   talking about, give a little bit of insight into what was going on into my life.
[00:00:27.340 --> 00:00:30.960]   A little bit weird doing these segments because it's myself basically
[00:00:30.960 --> 00:00:32.400]   just talking about myself.
[00:00:32.400 --> 00:00:39.200]   But now it occurred to me, now that we have Jesse here, we could rejuvenate
[00:00:39.200 --> 00:00:42.700]   this segment, which I call behind the curtain since, well, we are in a
[00:00:42.700 --> 00:00:43.920]   room surrounded by curtains.
[00:00:43.920 --> 00:00:45.900]   So it's like what happens outside of this room?
[00:00:45.900 --> 00:00:51.480]   A segment called behind a curtain where Jesse will be the proxy for you, my
[00:00:51.480 --> 00:00:56.560]   audience, and Jesse will ask me some questions about what's going on in my
[00:00:56.560 --> 00:01:00.960]   life. I have not seen these questions ahead of time, so these are new to me.
[00:01:00.960 --> 00:01:04.560]   And Jesse, let me make it clear, if I don't like them, you're fired.
[00:01:04.560 --> 00:01:06.320]   So let's just put that on the table.
[00:01:06.320 --> 00:01:10.560]   Take that $250,000 a month and go buy a new truck.
[00:01:10.560 --> 00:01:14.280]   I am going to spend that on YouTube subscriptions.
[00:01:14.280 --> 00:01:15.760]   Is that how that works?
[00:01:15.760 --> 00:01:17.960]   Can I spend money on YouTube subscriptions?
[00:01:17.960 --> 00:01:22.320]   One thing you can do on YouTube is you can subscribe to YouTube premium and you
[00:01:22.320 --> 00:01:23.680]   don't get the ads and you get the music.
[00:01:23.680 --> 00:01:25.120]   It's actually only like $9 a month.
[00:01:25.120 --> 00:01:25.520]   I do it.
