
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:00:05.480 --> 00:00:13.540]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:00:13.540 --> 00:00:17.600]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:00:17.600 --> 00:00:19.880]   Ralph's, fresh for everyone.
[00:00:19.880 --> 00:00:26.140]   Choose from a great selection of digital coupons and use them up to five times in one transaction. Check our app for details.
[00:00:26.140 --> 00:00:28.640]   Ralph's, fresh for everyone.
[00:00:28.640 --> 00:00:40.640]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:40.640 --> 00:00:47.140]   My name is Joshua Sheets, and today I want to teach you how to book inexpensive plane tickets.
[00:00:47.140 --> 00:00:55.640]   Booking inexpensive plane tickets is something that is very important to me, to my life goals, and to my financial planning goals.
[00:00:55.640 --> 00:01:04.140]   I have five children, so when the Sheets family travels, I not only need to book one ticket, I need to book seven tickets.
[00:01:04.140 --> 00:01:08.640]   As you can imagine, those prices increase quite substantially.
[00:01:08.640 --> 00:01:12.140]   In addition, we travel quite a lot as a family.
[00:01:12.140 --> 00:01:19.140]   I estimate that this year we'll be in somewhere between 10 to 12 new and different countries as a family.
[00:01:19.140 --> 00:01:27.640]   So you do the math, calculate somewhere between 10 and 25 sets of plane tickets, seven a pop.
[00:01:27.640 --> 00:01:35.140]   You can see that this is a significant portion of my overall expenditures.
[00:01:35.140 --> 00:01:41.640]   And this is something that I've done for a number of years now, and which I anticipate doing more and more in the coming years.
[00:01:41.640 --> 00:01:53.640]   And I'm extremely grateful to live in the year 2023, because prior to this time in history, this was not particularly doable.
[00:01:53.640 --> 00:02:04.640]   I would love to be at the point where I can easily just comfortably go and buy seven business class tickets on the best conventional airline that has the best service.
[00:02:04.640 --> 00:02:07.140]   That would be wonderful, and I look forward to doing that in the future.
[00:02:07.140 --> 00:02:09.640]   But at the moment, I have a choice to make.
[00:02:09.640 --> 00:02:17.640]   Either I travel with a careful eye on cost, and I'm also able to reach some of my other financial goals, or I don't travel at all.
[00:02:17.640 --> 00:02:20.640]   And I choose to travel and pay a careful attention to cost.
[00:02:20.640 --> 00:02:25.640]   And so I've developed a skill of buying inexpensive plane tickets.
[00:02:25.640 --> 00:02:32.640]   I've also talked to a lot of people about their tools and methods and strategies around buying inexpensive plane tickets.
[00:02:32.640 --> 00:02:38.640]   And the advice that you hear on this topic often falls into a number of different categories.
[00:02:38.640 --> 00:02:41.640]   Number one, the advice is often antiquated.
[00:02:41.640 --> 00:02:46.640]   So, for example, somebody might say, "Well, make sure you clear your cookies and cash before you buy a plane ticket."
[00:02:46.640 --> 00:02:49.640]   Okay, maybe. I don't bother to do that most of the time.
[00:02:49.640 --> 00:02:53.640]   When I remember it, I will do it, but it just doesn't seem like a big deal.
[00:02:53.640 --> 00:02:58.640]   I don't notice any significant difference in the flights that I book.
[00:02:58.640 --> 00:03:04.640]   Or people will give advice like, "Purchase on a Tuesday," or "Buy 78 days before the trip."
[00:03:04.640 --> 00:03:05.640]   Most of that stuff seems antiquated.
[00:03:05.640 --> 00:03:08.640]   It may have been true three, four, five years ago.
