
[00:00:00.000 --> 00:00:04.720]   [Music]
[00:00:04.720 --> 00:00:07.840]   Moving on, we have a question from Noah.
[00:00:07.840 --> 00:00:10.880]   Noah is asking about time blocking.
[00:00:10.880 --> 00:00:14.160]   He says, "How do you time block plan within a company culture
[00:00:14.160 --> 00:00:19.360]   that's apt to throw a meeting on your calendar if it's marked as free?"
[00:00:19.360 --> 00:00:23.200]   Well, honestly, Noah, what you really need to do here is take
[00:00:23.200 --> 00:00:25.760]   all your colleagues in this company,
[00:00:26.800 --> 00:00:30.000]   lock them in a room like in the first Saw movie,
[00:00:30.000 --> 00:00:33.360]   but instead of them having to cut the leg off of someone else to get out of that room,
[00:00:33.360 --> 00:00:36.320]   they have to read A World Without E-mail before you'll give them any water.
[00:00:36.320 --> 00:00:40.480]   And I think then you'll solve your problem because I hate these type of cultures.
[00:00:40.480 --> 00:00:44.480]   It's a huge issue and I feel your pain.
[00:00:44.480 --> 00:00:45.280]   Let's just start there.
[00:00:45.280 --> 00:00:48.880]   So long term, that's going to be your solution is, of course, you want to change this culture.
[00:00:48.880 --> 00:00:53.840]   This is an ad hoc, on-demand, haphazard approach to work.
[00:00:53.840 --> 00:00:56.800]   It's the hyperactive, hive mind personified.
[00:00:56.800 --> 00:00:59.280]   It's an approach to work where you just rock and roll.
[00:00:59.280 --> 00:01:00.000]   Oh, I want to do this.
[00:01:00.000 --> 00:01:01.120]   Let's get a meeting on the books.
[00:01:01.120 --> 00:01:02.160]   Let's shoot an email to this person.
[00:01:02.160 --> 00:01:03.360]   Let's grab this person by Slack.
[00:01:03.360 --> 00:01:03.920]   What about that?
[00:01:03.920 --> 00:01:04.240]   I don't know.
[00:01:04.240 --> 00:01:05.520]   Let's just jump on and have a meeting.
[00:01:05.520 --> 00:01:06.240]   Let's do a call.
[00:01:06.240 --> 00:01:07.360]   Let's circle around on this.
[00:01:07.360 --> 00:01:08.240]   Let's circle back.
[00:01:08.240 --> 00:01:08.880]   Let's jump on.
[00:01:08.880 --> 00:01:10.560]   Whatever the different terminology is, right?
[00:01:10.560 --> 00:01:15.760]   Just grabbing time and attention on-demand, haphazardly as needed
[00:01:15.760 --> 00:01:18.320]   to advance whatever it is that you're working on or interested in
[00:01:18.320 --> 00:01:20.400]   with the minimal amount of overhead for you.
[00:01:21.680 --> 00:01:25.440]   We know that this does not scale when you apply this approach to a whole organization.
[00:01:25.440 --> 00:01:29.200]   What you get out of it is a fraction of the potential output.
[00:01:29.200 --> 00:01:34.640]   It is the knowledge work equivalent of running a car factory where you say, look, guys,
[00:01:34.640 --> 00:01:37.200]   I don't want to tell you how to do your job.
[00:01:37.200 --> 00:01:39.040]   So everyone just rock and roll.
[00:01:39.040 --> 00:01:40.320]   Let's try to get some cars built.
[00:01:40.320 --> 00:01:43.120]   You know, if you need someone to help you with whatever you're working on, just grab them.
[00:01:43.120 --> 00:01:48.640]   You know, yeah, you would produce some cars, but Henry Ford is going to outproduce you a thousand times.
[00:01:48.640 --> 00:01:49.680]   All right.
[00:01:49.680 --> 00:01:50.800]   So that's long-term solution.
[00:01:51.680 --> 00:01:58.560]   Short-term, there are some hacks we can call them that help you get a little bit more breathing
[00:01:58.560 --> 00:02:01.600]   room in this culture while you're still waiting for the culture itself to change.
